"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2015","2015",0.01,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",120.5,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",114.22,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",100.17,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",104.99,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",111.97,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",113.03,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",99.54,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",92.89,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",79.14,,
"BIH","Bosnia-Herzegovina","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",87.35,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",123.87,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",126.06,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",121.88,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",122.71,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",121.19,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",123.65,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",135.47,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",133.33,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",141.61,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",121.03,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",104.93,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",89.41,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",82.26,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",82.72,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",91.36,,
"BGR","Bulgaria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",98.63,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2004","2004",318.01,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2005","2005",309.46,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2006","2006",492.42,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2007","2007",404.78,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2008","2008",375.34,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2009","2009",301.14,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2010","2010",249.04,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2011","2011",203.34,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",178.34,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",171.56,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",181.24,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",1.1,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.96,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.82,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.74,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.65,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.73,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.66,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.61,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.6,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.47,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.4,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.32,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.27,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0.25,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0.28,,
"BGR","Bulgaria","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2015","2015",0.27,,
"CAN","Canada","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",94.38,,
"CAN","Canada","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",88.73,,
