time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-25T20:16:14.700Z,35.5926,-97.3733,4.606,3.3,ml,,36,,0.38,us,us10008ktq,2017-07-21T02:32:06.040Z,"7km N of Spencer, Oklahoma",earthquake,0.8,2.6,,,reviewed,tul,tul
2017-04-25T12:40:25.200Z,36.8214,-97.776,1.129,3,ml,,33,,0.53,us,us10008kmt,2017-07-21T02:32:06.040Z,"4km WNW of Medford, Oklahoma",earthquake,0.6,7.6,,,reviewed,tul,tul
2017-04-25T07:57:12.100Z,35.5902,-97.3731,5.187,3,ml,,36,,0.42,us,us10008kk0,2017-07-21T02:32:05.040Z,"7km N of Spencer, Oklahoma",earthquake,1.4,5.2,,,reviewed,tul,tul
2017-04-24T22:13:34.700Z,36.7908,-98.2712,3.377,3.3,ml,,74,,0.33,us,us10008kcy,2017-07-21T02:32:04.040Z,"8km ENE of Cherokee, Oklahoma",earthquake,0.8,6.7,,,reviewed,tul,tul
2017-04-22T14:54:51.500Z,36.7037,-97.6681,8.292,3.6,ml,,51,,0.17,us,us10008js4,2017-07-11T01:48:41.040Z,"12km SSE of Medford, Oklahoma",earthquake,1.2,4.3,,,reviewed,tul,tul
2017-04-22T14:47:22.000Z,36.7033,-97.67,6.009,3,ml,,50,,0.17,us,us10008jrz,2017-07-11T01:48:41.040Z,"12km SSE of Medford, Oklahoma",earthquake,0.9,4.4,,,reviewed,tul,tul
2017-04-20T13:38:14.600Z,36.3613,-98.1568,4.868,3.2,ml,,40,,0.21,us,us10008j8c,2017-07-11T01:48:38.040Z,"22km SSE of Helena, Oklahoma",earthquake,1.2,7.7,,,reviewed,tul,tul
2017-04-20T04:33:06.500Z,36.7002,-97.6673,7.984,3.1,ml,,51,,0.31,us,us10008j64,2017-07-11T01:48:38.040Z,"13km SSE of Medford, Oklahoma",earthquake,1.3,1.7,,,reviewed,tul,tul
2017-04-18T13:27:30.800Z,36.2082,-97.4265,8.009,3,ml,,24,,0.17,us,us10008ikj,2017-07-11T01:48:36.040Z,"15km SW of Perry, Oklahoma",earthquake,1.1,3.3,,,reviewed,tul,tul
2017-04-18T04:36:28.500Z,36.4315,-96.9094,4.183,3,ml,,51,,0.51,us,us10008ii1,2017-07-11T01:48:36.040Z,"14km NW of Pawnee, Oklahoma",earthquake,2.3,6.8,,,reviewed,tul,tul
2017-04-16T09:57:04.100Z,36.2071,-97.4255,6.468,3.1,ml,,24,,0.51,us,us10008i3d,2017-07-11T01:48:33.040Z,"15km SW of Perry, Oklahoma",earthquake,1.1,6.6,,,reviewed,tul,tul
2017-04-16T06:29:30.500Z,36.2055,-97.4246,8.094,3.5,ml,,24,,0.14,us,us10008i2b,2017-07-11T01:48:32.040Z,"15km SW of Perry, Oklahoma",earthquake,1.1,10.1,,,reviewed,tul,tul
2017-04-13T11:32:37.400Z,36.7013,-97.6729,8.595,3.1,ml,,50,,0.18,us,us10008h8c,2017-07-05T18:09:58.040Z,"12km SSE of Medford, Oklahoma",earthquake,1.2,1.5,,,reviewed,tul,tul
2017-04-13T10:36:27.900Z,36.7015,-97.6705,9.879,3.2,mwr,,50,,0.22,us,us10008h7z,2017-07-05T18:09:58.040Z,"12km SSE of Medford, Oklahoma",earthquake,1.2,1.5,,25,reviewed,tul,slm
2017-04-09T22:08:54.600Z,36.919,-98.1266,8.102,3,ml,,96,,0.58,us,us10008g3q,2017-07-05T18:09:54.040Z,"27km SSW of Anthony, Kansas",earthquake,1.4,4.5,,,reviewed,tul,tul
2017-04-09T01:47:31.900Z,36.214,-97.014,7.269,3.4,mwr,,29,,0.53,us,us10008fyt,2017-07-05T18:09:53.040Z,"11km NNE of Stillwater, Oklahoma",earthquake,1.4,5.5,,17,reviewed,tul,slm
2017-04-07T20:08:35.680Z,39.7521,-98.1289,13.42,3.3,mb_lg,,59,1.112,0.39,us,us10008fp3,2017-06-23T07:26:35.040Z,"7km ESE of Mankato, Kansas",earthquake,3,8.5,0.049,109,reviewed,us,us
2017-04-07T14:56:33.000Z,36.4453,-98.7923,6.222,3,ml,,52,,0.75,us,us10008fi3,2017-06-23T07:26:34.040Z,"34km NW of Fairview, Oklahoma",earthquake,1.9,2,,,reviewed,tul,tul
2017-04-07T10:13:27.400Z,36.4418,-98.7823,7.591,3.1,ml,,51,,0.38,us,us10008ffw,2017-06-23T07:26:34.040Z,"33km NW of Fairview, Oklahoma",earthquake,3.8,6.8,,,reviewed,tul,tul
2017-04-07T08:01:09.500Z,36.5327,-98.971,6.061,3.2,ml,,89,,0.32,us,us10008fe4,2017-06-23T07:26:34.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.7,2.7,,,reviewed,tul,tul
2017-04-07T00:13:18.970Z,39.7491,-98.1769,14.5,3.2,mb_lg,,60,1.132,0.31,us,us10008fbg,2017-06-23T07:26:34.040Z,"5km SE of Mankato, Kansas",earthquake,1.9,8.6,0.05,104,reviewed,us,us
2017-04-06T16:01:43.530Z,39.7399,-98.1569,14.13,3,mb_lg,,60,1.133,0.51,us,us10008f8q,2017-06-23T07:26:33.040Z,"6km SE of Mankato, Kansas",earthquake,1.4,8.5,0.059,75,reviewed,us,us
2017-04-05T19:58:28.000Z,36.419,-96.9144,5.282,3,ml,,46,,0.16,us,us10008equ,2017-06-23T07:26:32.040Z,"13km NW of Pawnee, Oklahoma",earthquake,0.9,3.4,,,reviewed,tul,tul
2017-04-05T08:14:35.700Z,36.5069,-98.238,7.572,3.3,ml,,64,,0.3,us,us10008eiq,2017-06-23T07:26:32.040Z,"5km SSE of Helena, Oklahoma",earthquake,1,3.2,,,reviewed,tul,tul
